elkYear,manualSpStart,manualSpEnd,manualFaStart,manualFaEnd
11_1,7-16,7-30,11-12,11-13
1203_2,5-8,7-27,10-23,11-11
120_1,5-1,6-6,11-12,11-28
1221_2,5-30,6-1,10-7,10-9
1223_2,6-27,7-7,12-4,12-6
1227_1,5-14,5-17,,
1228_1,5-11,5-21,11-19,11-22
1229_1,5-30,6-5,11-14,1-7
122_2,4-21,5-12,11-29,12-9
1230_1,7-16,7-18,10-2,10-12
1231_1,5-28,6-2,,
1232_1,6-20,6-21,10-20,10-27
1233_5,5-4,5-7,10-15,11-19
1234_2,3-14,3-18,7-25,7-30
1235_2,,,,
1236_2,2-4,4-16,10-27,12-27
1238_1,5-1,5-19,9-27,10-2
1239_2,2-5,2-7,11-2,11-8
123_1,3-14,6-12,11-6,12-28
1240_5,5-3,5-5,6-26,9-22
1241_1,5-1,5-3,7-8,11-6
1243_1,4-6,4-19,11-14,11-17
1245_2,4-23,4-30,10-19,10-21
1246_2,3-11,3-18,10-22,11-5
1247_1,,,,
1248_2,,,,
1249_3,4-30,5-9,10-8,10-15
1250_2,3-9,3-14,10-16,10-20
1251_1,,,,
1252_3,5-1,5-6,10-22,10-26
1253_2,,,,
125_1,6-26,6-30,10-4,10-19
1262_1,,,,
1264_1,5-2,5-6,,
1265_1,6-15,6-22,,
1266_1,,,,
1267_1,4-27,5-14,,
1268_1,4-27,5-8,10-23,11-5
1269_1,5-21,5-26,10-5,10-7
126_1,6-14,6-16,11-25,12-7
1270_1,5-15,5-23,11-9,11-28
1271_1,4-20,5-31,11-6,1-9
1272_1,6-30,7-1,10-5,10-15
1273_1,6-15,6-17,11-6,11-9
1274_1,7-5,7-8,11-10,11-13
1275_1,6-21,6-27,10-30,11-6
1277_1,5-22,5-30,12-24,1-1
1278_1,6-20,6-22,11-8,11-19
1279_1,6-27,6-28,10-6,10-9
127_1,4-25,5-21,10-9,10-29
1280_1,5-17,5-19,11-18,11-21
1281_1,5-27,5-31,11-4,12-1
1282_1,6-3,6-7,10-5,10-7
1283_1,6-21,6-29,11-8,12-4
1284_1,5-22,5-23,10-4,10-8
1285_1,5-17,5-18,10-4,10-10
1286_1,5-30,6-1,10-30,11-1
1287_1,5-22,5-28,10-19,10-21
1288_1,5-1,6-3,11-12,1-18
1289_1,5-13,5-22,10-17,1-25
128_1,7-6,7-7,8-27,8-28
1290_1,5-18,6-4,10-21,10-27
1291_1,5-14,5-19,11-18,12-10
1292_1,4-18,4-19,11-16,11-18
1293_1,7-22,7-25,9-17,9-18
1294_1,6-18,7-5,10-22,10-24
1295_1,5-18,7-17,10-14,1-6
1296_1,5-18,6-7,10-12,10-19
1297_1,5-12,5-26,10-20,11-22
1299_1,6-12,6-17,9-17,10-11
129_1,6-7,6-8,10-7,10-10
1300_1,5-24,5-26,9-22,10-11
1301_1,6-8,6-25,10-22,10-26
1302_1,5-9,6-3,,
1303_1,5-12,5-16,10-21,10-27
1304_1,5-26,6-8,10-22,10-24
1305_1,6-5,6-7,10-8,10-14
1306_2,5-23,6-2,12-4,12-9
1307_1,5-11,5-13,11-14,11-18
1308_1,6-22,6-24,9-17,9-20
1309_1,6-13,6-14,9-24,10-10
1310_1,5-1,5-17,1-25,2-1
1311_1,5-6,5-19,11-29,1-26
1314_1,5-22,5-23,,
1315_1,5-18,6-12,10-9,12-5
1316_1,4-30,5-18,10-7,12-14
1318_1,4-13,4-30,10-5,11-30
1319_1,4-27,5-13,9-16,12-14
131_1,5-27,5-28,10-10,10-14
1321_1,5-8,5-29,10-6,11-25
1322_1,6-4,6-14,9-24,9-25
1323_1,4-28,7-4,10-6,11-5
1324_1,4-28,5-12,10-2,11-5
1325_1,6-14,6-15,10-6,10-8
1326_1,4-28,5-10,11-9,11-30
1327_1,4-27,5-10,10-7,12-31
1328_1,5-12,5-14,11-23,12-14
1329_1,5-27,6-15,11-5,11-27
132_1,5-1,5-24,9-18,10-2
1330_1,5-31,6-14,11-14,12-25
1331_1,7-17,8-1,10-8,12-9
1332_1,5-16,5-25,11-5,11-29
1333_1,6-2,7-8,10-10,12-23
1334_1,5-16,6-17,11-4,11-11
1335_1,6-19,6-27,11-11,11-15
1336_1,5-15,6-11,11-6,1-12
1337_1,5-16,6-10,11-10,11-12
1338_1,5-29,5-31,9-1,9-2
1339_1,5-10,5-30,10-12,12-12
133_1,5-16,6-3,9-28,9-30
1340_1,5-16,7-6,10-12,11-5
1341_1,5-17,6-18,11-13,12-1
1342_1,7-15,7-19,8-6,8-17
1343_1,5-9,6-8,10-6,12-7
1344_1,5-28,6-23,11-5,11-30
1345_1,4-19,6-11,11-6,12-11
1346_1,6-29,7-22,10-10,11-24
1347_1,5-21,7-7,8-6,10-13
1348_1,5-28,5-30,10-9,10-10
1349_1,5-19,6-14,11-6,1-10
134_2,4-1,4-23,,
1350_1,5-5,6-24,10-10,1-8
1351_1,7-13,7-16,11-21,1-19
1352_1,6-13,7-4,11-6,12-23
1353_1,7-9,7-27,11-5,1-6
1355_1,5-20,6-22,10-7,11-27
1358_1,,,,
1359_1,4-29,6-6,9-23,11-2
135_2,3-28,6-24,9-26,10-6
1362_1,5-13,6-16,9-24,10-26
1363_1,5-5,5-20,11-7,11-17
1368_1,5-5,5-13,11-7,11-25
136_1,5-25,6-23,10-10,11-23
1371_1,5-12,7-24,10-2,11-2
1374_1,5-2,5-26,11-4,11-28
1377_1,5-23,7-8,9-24,12-8
1379_2,5-2,5-19,11-7,11-26
137_2,4-9,6-17,,
1380_1,6-25,8-11,9-23,12-5
1382_1,5-14,6-3,9-3,11-5
1385_1,5-23,6-1,9-23,10-21
1388_1,5-12,5-17,10-19,11-13
1389_1,7-4,7-12,10-10,10-12
1392_1,,,,
1393_1,,,,
1394_1,6-26,6-27,10-11,10-12
1395_1,5-19,5-29,9-1,9-13
1396_1,,,,
1397_1,7-1,7-5,8-25,8-30
1398_1,7-1,7-10,8-27,8-30
139_2,6-26,6-27,9-22,10-2
1400_1,7-22,7-23,8-14,8-15
1401_1,7-4,7-12,8-23,9-5
1402_1,5-2,5-26,11-16,11-20
1403_1,,,,
1404_1,,,,
1405_1,7-1,7-6,9-3,9-23
1406_1,7-3,7-7,11-15,11-23
1407_1,5-2,5-18,11-16,11-20
1409_1,,,,
140_2,4-30,5-27,10-4,12-21
1410_1,5-2,6-5,11-16,11-20
1412_1,5-2,6-1,11-16,11-20
1413_1,6-9,6-10,8-26,8-30
1414_1,7-26,7-27,9-28,9-30
143_2,4-14,5-1,,
1455_1,,,,
1456_1,4-24,6-6,,
1457_1,4-24,5-26,,
1458_1,5-14,5-27,,
1459_1,5-12,6-3,,
145_2,4-26,5-11,,
1461_1,5-7,6-15,,
1462_1,5-2,7-6,,
1463_4,5-21,6-5,8-16,8-29
1464_1,4-28,5-22,,
1465_1,5-5,5-20,12-26,1-20
1467_4,4-14,4-18,10-4,10-10
1468_3,4-30,5-11,1-6,1-13
1469_1,5-1,7-1,11-28,1-23
146_2,5-17,5-25,10-6,10-8
1470_1,5-5,5-17,8-21,8-25
1471_1,5-2,5-8,,
1472_5,4-29,5-2,11-26,11-28
1474_4,4-21,5-4,12-17,12-18
1475_1,5-14,5-21,,
1476_5,3-15,5-2,11-4,12-1
1477_1,4-16,5-23,,
1478_1,4-28,5-15,,
147_1,5-8,6-14,11-13,12-3
1480_1,5-2,5-23,,
1481_1,4-22,5-28,,
1482_2,3-25,4-24,12-3,12-18
1483_2,4-28,5-7,,
1484_1,5-26,5-31,9-18,9-19
1485_2,5-18,6-2,8-22,9-24
1487_4,5-29,6-2,9-26,10-7
1488_1,7-11,7-14,7-23,7-29
148_2,5-27,6-11,10-2,10-14
1490_1,,,,
1492_4,5-3,5-15,10-12,10-18
1493_4,4-27,5-27,9-22,9-30
1494_1,10-10,10-11,11-25,11-28
1496_4,,,,
1497_3,,,,
1498_3,5-8,5-25,10-5,10-9
1499_2,5-17,5-19,9-6,9-8
149_4,7-5,7-12,10-9,10-27
14_1,6-20,8-13,9-27,11-25
1500_1,7-12,7-16,8-17,8-20
1501_4,6-3,6-4,8-4,8-5
1502_3,4-23,5-17,11-3,11-12
1503_3,5-23,6-2,10-1,10-4
1504_2,,,,
1505_1,5-26,6-16,12-8,12-17
1506_1,,,,
1507_1,4-27,5-16,9-26,10-23
1508_1,,,,
1509_1,4-20,4-24,10-9,11-5
150_2,6-8,6-19,7-25,7-26
1510_1,4-22,4-28,11-15,11-17
1511_1,,,,
1512_2,,,,
1513_1,5-29,6-10,8-15,9-1
1514_1,3-8,6-1,9-7,12-24
1515_1,,,,
1516_2,5-18,5-24,6-24,6-27
1517_2,7-19,7-20,8-18,8-25
1518_1,,,,
151_2,6-19,6-21,8-12,8-13
1520_2,4-17,4-23,12-3,12-7
1521_1,7-12,7-14,9-21,10-21
1522_2,,,,
1523_1,6-1,6-9,10-20,10-30
1524_1,5-27,5-29,10-15,10-23
1525_1,,,,
1526_1,,,,
1527_1,3-15,5-5,10-30,1-7
1529_1,3-8,4-24,12-3,12-19
152_2,5-16,5-28,10-7,10-15
1530_3,4-8,5-4,12-21,12-29
1531_1,5-8,5-9,7-24,7-25
1532_1,4-21,4-23,8-1,8-25
1535_1,3-28,4-24,12-8,12-25
1536_1,3-24,5-9,10-24,12-24
1537_3,4-5,5-17,12-4,12-23
1538_1,4-20,5-7,11-23,12-18
1539_5,4-18,5-21,12-4,1-2
153_2,6-2,6-15,10-7,11-3
1541_1,4-4,4-14,12-7,12-21
1542_1,,,,
1543_1,3-8,4-27,,
1544_1,4-24,5-3,11-22,12-26
1545_1,5-8,5-10,,
1546_1,4-19,4-26,10-20,10-23
1547_1,4-22,5-1,11-10,12-10
1548_1,4-3,5-8,12-5,12-21
1549_3,4-15,5-23,11-24,12-16
1551_1,4-15,4-25,11-24,12-28
1552_1,3-8,4-11,11-14,12-25
1553_1,6-27,7-18,9-16,9-17
1554_1,7-9,7-20,9-5,9-7
1555_1,,,,
1556_1,8-22,8-24,9-22,9-24
1558_2,,,,
1559_1,,,,
155_1,7-16,7-17,8-12,8-15
1560_3,5-20,6-17,10-5,10-26
1561_3,7-21,7-24,10-2,10-29
1563_3,04-26,05-25,11-03,12-02
1565_3,,,,
1566_3,,,,
1567_3,05-19,05-25,12-15,12-30
1568_3,06-18,07-06,10-19,11-06
1569_2,06-13,06-25,11-04,11-26
156_1,05-21,05-27,10-21,10-26
157_1,04-22,05-23,10-11,11-10
158_1,04-22,04-26,11-14,11-19
1599_1,,,,
159_1,05-10,05-25,07-17,12-23
15_1,05-26,07-04,09-15,10-03
1605_1,,,,
1609_2,,,,
160_1,04-30,05-17,09-30,11-15
162_1,04-30,06-30,11-11,11-23
1632_3,04-27,06-11,10-10,12-01
1641_3,06-20,07-03,09-26,10-02
164_1,6-21,6-30,10-12,11-14
166_1,6-28,6-30,10-29,11-30
1674_1,05-17,05-24,09-26,10-06
1677_2,,,,
167_1,,,,
1681_1,,,,
1683_1,,,,
1687_1,,,,
1688_1,06-05,06-18,08-18,09-03
1691_2,,,,
1692_1,05-22,06-12,08-21,10-28
169_1,06-21,07-04,09-13,09-17
16_1,,,,
1713_1,4-28,5-12,12-19,12-30
1714_1,07-03,08-20,12-12,01-09
1718_2,03-24,07-15,,
171_1,05-07,05-30,09-17,10-02
1720_2,06-27,07-06,09-29,10-10
1721_2,,,,
1729_1,06-09,07-11,01-01,02-17
172_1,04-19,07-06,08-30,11-16
1730_1,06-30,07-08,09-29,10-05
1731_1,05-17,06-23,,
1734_1,07-02,07-25,08-30,10-05
1736_1,05-10,07-10,08-31,09-26
1737_1,05-29,07-04,10-03,10-18
1739_1,05-05,07-08,09-12,12-04
173_2,07-06,07-13,10-15,10-23
1740_1,07-22,07-24,09-06,12-15
1741_1,05-03,07-05,,
1742_1,,,,
1743_1,04-15,08-11,09-11,10-05
1744_1,06-02,07-04,9-30,12-30
1747_1,06-01,07-07,,
1748_1,07-06,07-23,09-30,12-29
174_2,06-25,06-30,09-05,10-05
1771_3,06-28,07-03,10-21,01-03
1772_3,05-08,06-26,08-31,12-02
1773_3,04-28,05-15,09-27,12-19
1774_1,04-16,05-06,11-28,11-30
1775_2,03-11,03-25,05-12,05-14
1776_2,05-26,05-29,11-21,01-05
1777_2,03-14,05-08,11-28,12-15
1778_2,04-13,05-25,10-22,10-31
1779_1,05-01,06-10,11-23,12-17
177_2,07-02,07-05,09-15,10-15
1780_1,04-15,04-22,12-02,12-13
1781_1,05-10,07-04,07-19,12-04
1782_1,05-04,06-23,08-21,12-11
1783_1,05-10,07-14,09-30,12-19
1784_1,,,,
1785_1,05-04,06-18,10-20,12-17
178_1,05-15,06-11,10-02,11-27
17_1,03-23,05-26,10-20,11-02
181_1,05-06,05-21,11-23,11-30
182_1,04-14,05-11,11-23,12-03
183_1,04-30,06-09,10-25,12-02
184_2,05-26,06-30,09-26,11-07
186_2,03-17,04-27,11-16,11-27
187_2,04-18,04-20,10-05,10-12
188_2,3-15,05-01,9-9,10-10
189_1,04-14,06-17,10-01,11-01
190_2,04-09,04-11,11-29,12-07
191_1,03-20,07-20,08-11,12-08
193_1,04-22,07-02,10-29,11-09
194_1,04-21,06-16,11-01,12-13
195_1,05-12,07-03,09-23,11-17
196_1,04-18,07-01,09-30,11-20
197_1,05-12,06-23,09-30,11-12
198_1,04-15,07-08,08-24,12-26
199_1,07-04,08-05,08-20,11-26
19_1,06-07,06-26,10-22,10-30
200_1,05-07,07-12,10-04,11-19
201_1,04-11,07-03,09-27,11-22
202_1,05-07,07-04,09-26,12-02
203_1,06-23,07-15,09-10,11-20
204_1,04-24,06-06,09-23,11-17
205_1,03-08,06-16,09-24,11-20
207_1,03-26,06-09,08-09,11-05
209_1,04-10,05-31,11-17,11-27
20_1,05-30,06-18,10-22,12-17
210_1,05-01,05-05,08-27,12-04
211_2,,,,
212_2,06-25,06-30,10-26,10-31
214_1,,,,
215_2,06-19,07-06,10-25,11-06
217_2,06-19,06-28,10-23,01-08
218_2,,,,
21_1,08-19,08-27,10-02,10-16
220_2,,,,
223_1,05-05,06-29,07-26,11-14
224_1,05-23,06-06,10-12,10-18
225_2,05-31,06-21,10-03,12-01
226_1,05-27,6-25,07-18,09-20
227_1,05-02,05-04,01-08,01-21
228_1,05-07,05-27,10-02,11-08
229_1,,,,
22_1,04-18,05-14,10-26,11-21
230_1,04-22,06-25,09-09,10-23
232_1,04-30,06-01,09-17,12-10
238_1,06-11,07-16,,
23_1,07-19,09-06,10-16,10-31
240_1,05-10,06-16,11-14,12-08
242_1,04-02,04-04,09-16,09-18
244_1,04-08,05-10,12-01,12-15
245_1,04-12,06-02,12-02,12-23
246_1,04-07,04-15,12-08,12-25
248_1,03-29,04-01,12-31,01-01
249_1,04-05,04-14,,
24_1,,,,
250_1,,,,
251_1,04-03,05-29,10-26,12-21
252_1,,,,
253_1,04-02,05-18,11-08,12-23
257_1,,,,
258_1,04-12,06-23,10-26,12-13
259_1,,,,
25_1,05-13,05-20,10-21,12-08
261_1,,,,
262_1,05-03,07-06,09-15,11-24
263_1,,,,
265_1,04-13,06-04,11-01,11-13
266_2,,,,
268_1,06-16,06-20,11-02,12-28
26_1,06-26,07-04,09-27,10-14
271_1,06-25,07-01,10-10,10-22
272_1,05-30,06-29,10-18,10-25
273_1,,,,
274_1,05-08,06-24,10-24,10-29
275_1,07-15,07-22,10-04,11-26
276_1,06-09,06-17,11-05,12-14
277_1,06-30,07-02,10-28,12-07
278_2,05-23,06-17,10-20,10-28
279_2,05-24,05-27,08-30,09-02
27_1,06-18,07-07,12-15,12-27
280_2,05-01,05-13,11-06,11-11
281_1,,,,
282_2,06-05,06-20,09-09,10-04
283_2,05-23,05-30,09-27,11-25
284_1,06-28,07-01,10-28,11-05
285_1,04-27,05-19,12-27,01-07
286_1,04-30,07-03,11-04,11-16
287_1,06-11,07-13,11-08,11-10
288_1,04-29,06-08,11-03,11-07
289_1,04-29,06-19,,
290_1,05-02,05-31,12-03,12-06
291_1,04-23,05-27,09-25,12-24
292_1,06-22,06-30,10-15,10-21
293_1,04-22,05-28,10-08,10-18
294_1,04-22,07-06,10-18,01-02
295_1,04-22,07-02,07-30,09-13
296_1,04-16,05-20,11-24,12-31
298_1,05-02,06-14,11-08,11-17
299_1,05-02,07-06,11-13,12-15
300_1,05-10,06-02,10-14,10-27
301_1,,,,
303_2,,,,
305_3,04-12,05-07,12-11,12-19
308_3,04-25,05-20,10-24,12-16
30_1,06-01,07-28,09-30,10-15
310_2,04-25,07-06,12-20,12-30
311_2,04-26,05-12,12-08,12-13
312_3,05-01,05-08,12-09,12-18
313_3,04-18,05-03,12-07,12-20
314_3,05-08,05-12,12-02,12-23
315_2,04-27,05-16,12-07,12-14
317_2,05-15,07-05,11-03,11-13
318_3,04-20,05-08,11-22,12-26
319_2,05-14,05-17,12-8,12-12
321_3,05-07,05-19,10-24,12-24
322_3,,,,
323_3,,,,
325_3,04-25,05-20,11-02,12-28
326_3,,,,
328_3,05-01,05-15,12-09,12-19
329_2,05-13,05-19,11-20,11-23
32_1,06-26,07-12,09-27,09-30
331_2,05-16,05-30,12-08,12-14
332_3,,,,
333_3,04-10,05-12,12-06,12-20
334_3,05-01,05-08,12-04,02-28
335_2,05-07,05-20,12-01,12-19
33_1,05-26,06-07,10-17,11-26
343_2,06-02,06-29,10-29,11-26
346_2,04-17,06-24,11-14,11-29
347_1,04-16,05-28,11-23,11-30
348_4,03-22,04-06,12-03,02-01
349_2,04-26,05-01,11-08,11-16
34_1,05-29,07-06,09-30,10-04
350_2,03-30,06-05,11-08,01-29
351_2,03-02,06-23,10-26,11-06
352_2,03-24,06-19,11-03,11-28
353_1,05-12,05-17,12-15,12-27
355_2,06-02,06-28,10-08,11-29
356_2,02-14,06-08,10-29,11-05
357_1,03-19,06-25,11-06,11-22
358_1,03-24,06-03,10-31,11-26
359_1,03-25,07-03,11-05,12-07
360_1,04-10,07-01,10-21,11-25
361_1,03-30,06-15,11-02,11-08
363_1,06-01,06-12,11-02,11-25
365_1,06-26,07-12,10-20,12-01
366_1,04-30,06-01,11-08,12-18
367_1,05-15,07-09,11-08,11-25
36_1,06-03,06-13,10-25,11-02
370_1,04-04,05-15,10-23,11-26
374_1,04-17,05-07,09-27,12-24
376_2,04-30,06-05,10-14,11-18
377_1,04-19,06-30,10-28,11-06
378_1,05-10,06-10,11-13,12-07
379_1,04-24,06-03,10-28,11-23
380_1,04-19,05-19,09-15,11-27
381_1,05-01,05-22,10-26,11-18
382_1,06-08,07-22,10-18,12-04
383_1,,,,
385_1,05-03,05-23,11-16,12-06
386_1,,,,
387_1,04-06,05-09,11-10,12-14
388_1,,,,
389_1,04-16,05-30,10-18,12-10
390_1,04-08,05-19,11-01,12-11
391_1,04-08,06-25,08-09,12-12
392_1,04-08,05-24,11-15,11-24
393_1,04-08,04-26,11-01,12-14
395_1,06-29,07-05,,
396_1,04-02,06-04,10-27,12-06
397_1,04-09,05-25,09-29,12-20
398_1,,,,
399_1,04-11,05-18,07-07,12-04
39_1,,,,
3_1,05-13,06-06,10-10,11-23
401_1,04-04,06-05,10-17,12-07
402_2,05-26,06-02,09-14,12-07
403_1,06-08,06-13,10-15,10-20
404_1,04-26,06-29,11-17,11-23
405_1,05-01,06-29,11-14,11-20
406_1,05-01,06-08,11-16,11-22
407_1,05-11,06-08,11-15,11-22
408_1,05-04,05-13,11-19,11-24
409_1,03-31,05-19,10-22,11-22
40_1,07-09,07-16,09-30,12-28
410_1,04-03,05-22,11-14,12-05
411_1,03-28,06-05,10-17,11-17
412_1,04-03,05-13,11-08,11-24
413_1,04-02,05-13,11-03,11-21
414_1,03-23,05-20,11-12,11-21
415_1,04-03,04-16,11-21,12-25
416_1,03-24,05-01,10-21,12-03
417_1,04-09,04-27,10-29,11-21
418_1,04-14,05-23,09-08,11-22
41_1,04-30,06-01,10-23,12-21
420_1,03-31,04-13,11-08,12-05
421_1,04-02,05-24,11-01,12-12
422_1,04-02,06-22,10-30,11-05
423_1,04-01,05-24,11-01,12-05
424_1,05-13,06-29,11-04,11-25
425_1,04-13,06-29,08-10,12-12
426_1,04-16,06-29,10-11,11-06
427_1,04-16,06-26,10-12,12-10
428_1,04-16,08-18,10-08,12-31
429_1,04-04,06-12,11-09,11-24
42_1,05-13,06-12,10-29,01-28
430_1,04-04,07-18,09-20,11-24
431_1,05-08,06-29,09-30,11-23
432_1,05-23,07-04,08-23,11-05
433_1,04-19,08-15,10-05,11-23
434_1,04-19,06-26,10-05,10-17
435_1,05-26,08-04,10-25,11-10
437_1,05-24,06-25,10-24,11-08
438_1,05-16,06-09,11-10,11-18
439_1,05-21,06-25,10-23,11-12
43_1,05-11,05-31,09-13,11-24
440_1,04-24,07-03,10-05,11-08
441_1,04-24,07-09,10-09,11-14
442_1,04-24,07-09,11-01,11-09
443_1,04-24,07-05,11-05,11-25
444_1,04-10,06-11,07-17,11-23
446_1,04-08,05-29,11-13,12-14
44_1,05-30,06-13,10-22,10-28
450_1,04-05,04-16,12-04,12-06
451_2,04-01,04-10,11-14,11-19
452_2,05-01,06-01,10-23,11-04
453_1,05-08,05-26,11-10,12-19
454_4,03-30,04-03,12-06,12-21
455_2,04-12,04-27,11-15,11-21
456_1,04-10,04-19,12-14,12-21
457_1,05-08,05-11,10-06,12-17
458_2,05-16,05-29,09-10,12-29
459_2,05-10,05-12,10-13,11-18
45_1,05-06,06-02,10-11,11-03
460_2,04-05,04-14,11-14,11-22
462_2,04-30,07-06,11-01,12-24
465_1,04-28,05-16,10-26,11-17
466_1,03-22,04-25,11-25,11-27
468_5,05-02,05-27,11-19,11-23
46_1,06-26,07-21,10-03,10-24
470_6,,,,
473_2,,,,
478_3,05-01,05-14,10-14,12-04
479_1,,,,
47_1,04-02,06-24,10-12,11-15
483_2,,,,
485_2,04-16,05-14,11-07,12-20
486_2,04-11,06-24,10-20,12-09
48_1,,,,
493_2,,,,
49_1,07-30,08-13,09-18,10-30
4_1,,,,
501_2,04-27,06-02,11-12,12-04
504_1,07-05,07-09,11-08,12-01
505_1,06-19,07-05,11-17,11-26
506_1,03-25,07-04,11-10,11-23
508_1,05-26,06-16,10-14,11-17
509_1,04-22,06-04,10-04,12-04
50_1,07-16,07-29,10-05,10-20
510_1,05-14,06-24,10-30,12-03
511_1,05-13,06-03,09-23,11-01
512_1,04-27,05-30,10-24,11-27
513_1,04-28,05-17,10-04,10-31
514_1,04-19,06-18,09-26,12-24
515_1,06-15,07-03,09-23,11-23
516_1,05-05,06-07,09-27,10-31
517_1,05-04,05-22,10-03,10-31
518_1,05-26,06-15,09-30,10-30
519_1,05-13,05-21,09-28,10-30
51_1,05-31,06-05,,
520_1,05-02,05-15,10-24,11-12
521_1,05-30,07-02,11-12,11-19
523_1,03-23,05-21,10-29,12-03
524_1,05-25,06-05,10-13,10-30
525_1,06-11,07-02,10-02,12-27
526_1,05-20,06-16,10-07,11-27
527_1,05-22,05-29,09-27,11-10
529_1,05-14,05-19,10-21,11-01
52_1,07-18,08-11,10-21,11-06
530_1,05-01,05-03,10-29,11-02
531_2,04-24,05-30,10-24,12-03
532_2,,,,
533_2,03-30,04-15,10-24,12-10
534_2,,,,
535_2,,,,
537_1,,,,
538_2,05-01,06-21,10-26,11-04
539_1,,,,
53_1,,,,
540_2,05-24,06-08,09-16,11-14
542_2,,,,
544_2,,,,
547_1,04-16,04-28,12-02,12-07
548_1,04-24,05-27,11-17,12-30
549_2,,,,
54_1,05-06,05-14,10-30,12-09
550_1,04-21,05-13,10-30,12-18
552_1,05-09,05-13,11-17,12-20
553_1,04-21,05-24,10-07,12-09
554_1,04-22,06-01,10-18,12-25
555_2,04-18,06-06,10-29,01-07
556_2,,,,
558_2,04-17,04-19,11-13,12-06
55_1,06-01,06-05,10-03,10-30
560_2,05-27,05-29,10-27,10-30
561_2,,,,
562_1,05-29,05-30,12-07,12-12
564_2,03-29,05-22,11-15,12-18
565_1,04-20,05-29,10-16,12-19
566_1,05-22,07-09,10-16,11-25
567_1,06-15,07-12,10-29,01-02
56_1,07-19,08-16,10-31,12-28
570_1,06-07,07-07,10-10,10-30
573_2,05-07,05-18,10-04,12-06
574_1,04-19,05-22,10-21,11-21
575_2,,,,
578_2,,,,
581_1,05-15,06-14,10-17,12-05
582_2,,,,
583_2,03-11,05-13,10-20,12-18
586_2,,,,
588_1,06-14,07-03,11-04,11-08
58_1,07-10,07-13,,
590_2,05-13,05-16,10-08,12-21
591_2,05-10,06-11,10-20,10-22
592_2,05-05,05-15,12-03,12-13
593_2,,,,
594_2,03-13,06-26,11-16,11-19
596_2,05-05,05-25,11-10,11-25
597_2,06-27,07-02,11-09,11-22
598_2,05-03,05-13,10-18,12-13
599_2,04-27,06-05,11-22,12-12
59_1,05-14,06-06,10-22,10-28
5_1,05-31,06-11,10-21,11-27
601_1,04-08,04-13,,
602_1,04-15,04-24,11-9,11-22
604_2,06-04,06-12,10-06,10-10
605_2,03-13,05-21,12-6,12-12
606_2,04-27,05-18,11-23,01-17
607_2,04-28,05-20,10-17,12-12
608_1,03-30,04-01,11-25,12-25
609_1,03-28,05-04,11-22,11-24
60_1,07-08,07-15,10-29,11-03
612_1,03-27,06-19,11-25,11-27
613_1,03-27,04-12,11-26,12-02
614_1,03-08,04-29,11-28,12-30
615_1,04-19,05-30,11-15,01-03
616_1,03-29,03-31,11-22,11-25
617_1,04-21,05-02,01-23,02-04
618_1,,,,
619_1,03-27,05-15,11-05,12-03
61_1,05-31,06-10,10-16,10-27
