switchID,period,year,propDev
743_1-2,winter2,2008,0.00363869405774914
747_1-2,winter2,2008,0.00545021634748491
747_2-3,springMig,2008,0.001472780394729
750_1-2,winter2,2008,0.0032265131749288
750_2-3,springMig,2008,0.00283897749096418
751_1-2,winter2,2008,0.0034524566811833
751_2-3,springMig,2008,0.000290135396518375
752_1-2,winter2,2008,0.00335117483961929
752_2-3,springMig,2008,0.00416728838488265
753_1-2,winter2,2008,0.00380885412088717
753_2-3,springMig,2008,0.00347115426864098
753_2-3,winter2,2008,0.00433672256522064
755_1-2,winter2,2008,0.00559590427431837
756_1-2,winter2,2008,0.002266399760705
756_2-3,springMig,2008,0.00030269397638987
757_1-2,winter2,2008,0.0159449625591417
758_1-2,winter2,2008,0.00562774792379091
758_2-3,springMig,2008,0.00340116222572056
761_1-2,winter2,2008,0.00232970246725405
761_2-3,springMig,2008,0.00271951839508066
762_1-2,winter2,2008,0.00357974155229152
763_1-2,winter2,2008,0.0108808075793306
763_2-3,springMig,2008,0.00169998107506673
766_1-2,winter2,2008,0.00240269796928599
766_2-3,springMig,2008,0
767_2-3,springMig,2008,0.00820613819136714
768_1-2,winter2,2008,0.00681585375462927
768_2-3,springMig,2008,0.00527599091264657
769_1-2,springMig,2008,0.00211801303901777
772_1-2,springMig,2008,0.00496036139775898
773_1-2,springMig,2008,0.0220057612924301
778_1-2,springMig,2008,0.0117639796467279
779_1-2,springMig,2008,0.000704914498017946
781_1-2,springMig,2008,0.00083537536199599
783_1-2,springMig,2008,0.00966999232540292
149_3-4,winter2,2009,0.0117720235901216
211_1-2,springMig,2009,0
212_1-2,springMig,2009,0
215_1-2,springMig,2009,2.05901126279161e-05
217_1-2,springMig,2009,0
218_1-2,springMig,2009,0
305_2-3,winter2,2009,0.028594652654803
308_2-3,winter2,2009,0.0141432244993376
308_3-4,springMig,2009,0.0173432437583381
311_2-3,winter2,2009,0.058994617121028
312_2-3,winter2,2009,0.0106557651710619
312_3-4,springMig,2009,0.0150164060992086
313_2-3,winter2,2009,0.0150649022518397
313_3-4,springMig,2009,0.0335317398485462
314_2-3,winter2,2009,0.00588634820013584
314_3-4,springMig,2009,0.0193015959623517
315_2-3,winter2,2009,0.076319293573481
318_2-3,winter2,2009,0.0681150223765948
318_3-4,springMig,2009,0.164968611711434
319_2-3,winter2,2009,0.0595364519726013
321_2-3,winter2,2009,0.0398688085203929
322_2-3,winter2,2009,0.0169683586599646
322_3-4,springMig,2009,0.123697398774958
323_2-3,winter2,2009,0.0133927030478755
323_3-4,springMig,2009,0.118236153539647
325_2-3,winter2,2009,0.0121399219874429
325_3-4,springMig,2009,0.0255053002549137
326_2-3,winter2,2009,0.0178827316805057
326_3-4,springMig,2009,0.113229801454688
328_2-3,winter2,2009,0.0167036625971143
328_3-4,springMig,2009,0.02138864595612
331_2-3,winter2,2009,0.0519012174715827
332_2-3,winter2,2009,0.0763146014485642
332_3-4,springMig,2009,0.142525803084773
333_2-3,winter2,2009,0.0146912219948581
333_3-4,springMig,2009,0.0151177422254179
334_2-3,winter2,2009,0.0125598746219897
334_3-4,springMig,2009,0.0163362356523375
335_2-3,springMig,2009,0.0163350071291302
451_1-2,springMig,2009,0.093994036632117
452_1-2,springMig,2009,0.0186113989637306
453_1-2,springMig,2009,0.0223859267072714
454_1-2,springMig,2009,0.0525015967638919
455_1-2,springMig,2009,0.0146741476046612
456_1-2,springMig,2009,0.139957907396272
457_1-2,springMig,2009,0.0102850758831011
470_2-3,winter2,2009,0.078126217374367
470_3-4,springMig,2009,0.167790518569228
531_1-2,springMig,2009,0.000127579497974675
532_1-2,springMig,2009,2.62494750104998e-05
533_1-2,springMig,2009,0.00016479894528675
