switchID,period,year,propCrop
1537_3-4,winter2,2015,0.0014139095430577
1539_3-4,winter2,2015,0.000549936958446227
1549_3-4,winter2,2015,0.00973955072864651
1560_1-2,winter2,2015,0.0109608625722285
1563_1-2,winter2,2015,9.50705899130104e-05
1565_1-2,winter2,2015,0.00085510390141155
1566_1-2,winter2,2015,0.000352673167290993
1568_1-2,winter2,2015,0.0343298879956532
172_1-2,winter2,2015,0.00757273814268633
173_1-2,winter2,2015,0
174_1-2,winter2,2015,0.0100210487782557
184_1-2,winter2,2015,0.00772300167331703
186_1-2,winter2,2015,0.0132182852946576
187_1-2,winter2,2015,0.025993265993266
188_1-2,winter2,2015,0.0335872576177285
223_1-2,winter2,2015,4.70411139335779e-05
224_1-2,winter2,2015,0.00155688622754491
265_1-2,winter2,2015,0.018957345971564
266_1-2,winter2,2015,0.00711905483186913
278_1-2,winter2,2015,0.00387236102319693
279_1-2,winter2,2015,0.0045119924008549
280_1-2,winter2,2015,0
637_1-2,winter2,2015,0.0131553491971368
638_1-2,winter2,2015,0.00858146403767861
639_1-2,winter2,2015,0.0144889357218124
657_2-3,winter2,2015,0.0133303208314505
658_1-2,winter2,2015,0.0351718163442102
701_2-3,winter2,2015,0.0464944458126483
702_2-3,winter2,2015,0.0754034804957202
707_2-3,winter2,2015,0.0809650119994948
724_1-2,winter2,2015,0.00834740053584426
1166_2-3,winter2,2016,0.000505492046787018
1167_2-3,winter2,2016,0.000530819372783829
1173_2-3,winter2,2016,0.000442479578605535
1176_2-3,winter2,2016,0.000505681480159438
1178_2-3,winter2,2016,0.000869185411661935
1181_2-3,winter2,2016,0.000105864916366716
122_1-2,winter2,2016,0.00424860054542845
123_1-2,winter2,2016,0.0117619527283457
1233_2-3,winter2,2016,0.234765764765395
1233_3-4,winter2,2016,0.165766683647478
1240_2-3,winter2,2016,0.10711319241565
1240_3-4,winter2,2016,0.103443518862418
1248_2-3,winter2,2016,0.0289735855954666
1249_2-3,winter2,2016,0.341786213404365
1249_3-4,winter2,2016,0.180866814200667
1252_2-3,winter2,2016,0.236485039466438
139_1-2,winter2,2016,0.00489987580175919
1485_1-2,winter2,2016,0.147795639025943
1499_1-2,winter2,2016,0.154682139485621
1502_1-2,winter2,2016,0.133703071672355
1504_1-2,winter2,2016,0.126321323814268
1510_1-2,winter2,2016,0.0279564672088037
1512_1-2,winter2,2016,0.000855748098877803
1516_1-2,winter2,2016,0.00596794361714221
1517_1-2,winter2,2016,0.00259907045009785
1520_1-2,winter2,2016,0.00758089902242502
1539_4-5,winter2,2016,0.000312349831811629
1560_2-3,winter2,2016,0.00521380345086272
1561_2-3,winter2,2016,0.000404991594239213
1563_2-3,winter2,2016,0.000122264335493337
1565_2-3,winter2,2016,0.000422067464152033
1566_2-3,winter2,2016,0.000215612759483967
1567_2-3,winter2,2016,0.0329244399011841
1568_2-3,winter2,2016,0.000712142021465995
1569_2-3,winter2,2016,0.0036093046920961
177_1-2,winter2,2016,0.0596026490066225
190_1-2,winter2,2016,0.0198290598290598
210_1-2,winter2,2016,0.0100231450486811
227_1-2,winter2,2016,0.000110381367625145
266_2-3,winter2,2016,0.0387074002902075
283_1-2,winter2,2016,0.000202999314877312
284_1-2,winter2,2016,0.000287693893697106
376_1-2,winter2,2016,0.0140389361118728
641_1-2,winter2,2016,0.0245951891521512
710_1-2,winter2,2016,0.003299513858609
711_1-2,winter2,2016,0.00586184437377878
714_1-2,winter2,2016,0.00312088216935987
715_1-2,winter2,2016,0.00735068454185474
716_1-2,winter2,2016,0.00694837524691857
717_1-2,winter2,2016,0.00788823545207981
718_1-2,winter2,2016,0.00891025291864118
719_1-2,winter2,2016,0.00941798423809291
720_1-2,winter2,2016,0.0103214566976111
721_1-2,winter2,2016,0.00812986369932218
722_1-2,winter2,2016,0.00688066770634783
723_1-2,winter2,2016,0.00666832683102294
726_1-2,winter2,2016,0.00425446796070195
10_1-2,winter2,2020,0
1132_1-2,winter2,2019,0.826732239799194
1133_1-2,winter2,2019,0.200272685956673
1137_1-2,winter2,2019,0.816921840044743
1138_1-2,winter2,2019,0.696292630252857
1139_1-2,winter2,2019,0.531435592873234
1142_1-2,winter2,2019,0.469920478587583
1143_1-2,winter2,2019,0.113402882854185
1144_1-2,winter2,2018,0.539766097739669
1147_1-2,winter2,2019,0.00672817445846401
1148_1-2,winter2,2019,0.769614484542431
