id,p,numFeedgrounds,feedAccess
1537_3-4,winter2,0,0
1539_2-3,winter1,0,0
1539_2-3,winter2,0,0
1539_3-4,winter1,0,0
1539_3-4,winter2,0,0
1539_4-5,winter1,0,0
1539_4-5,winter2,0,0
1549_1-2,winter1,0,0
1549_1-2,winter2,0,0
1549_2-3,winter1,0,0
1549_2-3,winter2,0,0
1549_3-4,winter1,0,0
1549_3-4,winter2,0,0
1558_1-2,winter1,0,0
1558_1-2,winter2,0,0
1558_2-3,winter1,0,0
1558_2-3,winter2,0,0
1560_1-2,winter1,0,0
1560_1-2,winter2,0,0
1560_2-3,winter1,0,0
1560_2-3,winter2,0,0
1561_2-3,winter1,0,0
1561_2-3,winter2,0,0
1563_1-2,winter1,0,0
1563_1-2,winter2,0,0
1563_2-3,winter1,0,0
1563_2-3,winter2,0,0
1565_1-2,winter1,0,0
1565_1-2,winter2,0,0
1565_2-3,winter1,0,0
1565_2-3,winter2,0,0
1566_1-2,winter1,0,0
1566_1-2,winter2,0,0
1566_2-3,winter1,0,0
1566_2-3,winter2,0,0
1567_2-3,winter1,0,0
1567_2-3,winter2,0,0
1568_1-2,winter1,0,0
1568_1-2,winter2,0,0
1568_2-3,winter1,0,0
1568_2-3,winter2,0,0
1569_2-3,winter1,0,0
1569_2-3,winter2,0,0
16_1-2,winter1,0,0
16_1-2,winter2,0,0
1605_1-2,winter1,0,0
1605_1-2,winter2,0,0
1609_2-3,winter1,0,0
1609_2-3,winter2,0,0
1674_1-2,winter1,0,0
1674_1-2,winter2,0,0
1691_1-2,winter1,0,0
1691_1-2,winter2,0,0
17_1-2,winter1,0,0
17_1-2,winter2,0,0
1713_1-2,winter1,0,0
1713_1-2,winter2,0,0
1718_1-2,winter1,0,0
1718_1-2,winter2,0,0
172_1-2,winter1,1,1
172_1-2,winter2,1,1
1720_1-2,winter1,0,0
1720_1-2,winter2,0,0
1721_1-2,winter1,0,0
1721_1-2,winter2,0,0
173_1-2,winter1,1,1
173_1-2,winter2,1,1
174_1-2,winter1,1,1
174_1-2,winter2,1,1
177_1-2,winter1,1,1
177_1-2,winter2,1,1
1771_1-2,winter1,1,1
1771_1-2,winter2,1,1
1771_2-3,winter1,1,1
1771_2-3,winter2,1,1
1772_2-3,winter1,1,1
1772_2-3,winter2,2,1
1773_2-3,winter1,0,0
1773_2-3,winter2,1,1
1775_1-2,winter1,0,0
1775_1-2,winter2,0,0
