switchID,period,year,propPrivate
468_3-4,winter2,2013,0.0807703942724614
478_2-3,winter2,2013,0.00488570544280851
573_1-2,winter2,2013,0.146991342265715
575_1-2,winter2,2013,0.191452181381986
578_1-2,winter2,2013,0.183298870685542
581_1-2,winter2,2013,0.367876033673545
582_1-2,winter2,2013,0.106206831853841
583_1-2,winter2,2013,0.0206564337034618
586_1-2,winter2,2013,0.0673513390830686
588_1-2,winter2,2013,0.28641379390367
591_1-2,winter2,2013,0.094392427505971
592_1-2,winter2,2013,0.0581486106774899
593_1-2,winter2,2013,0.142768392946837
594_1-2,winter2,2013,0.0788114014486663
596_1-2,winter2,2013,0.0722082962723377
597_1-2,winter2,2013,0.131041708395606
598_1-2,winter2,2013,0.0891040614874539
599_1-2,winter2,2013,0.0549610044416466
602_1-2,winter2,2013,0.113179176657049
604_1-2,winter2,2013,0.098796483475154
605_1-2,winter2,2013,0.0540842006929582
606_1-2,winter2,2013,0.116186564540897
607_1-2,winter2,2013,0.0642663201377664
697_1-2,winter2,2013,0.00927257704195612
698_1-2,winter2,2013,0.00166846717080783
844_1-2,winter2,2013,0.336693474123642
845_1-2,winter2,2013,0.293824749816939
847_1-2,winter2,2013,0.585280798032324
886_3-4,winter2,2013,0.103461738677772
888_2-3,winter2,2013,0.00412660881978988
1234_1-2,winter2,2014,0.805347058403031
134_1-2,winter2,2014,0.453902951204643
135_1-2,winter2,2014,0.394235767505439
1463_3-4,winter2,2014,0.175608021420204
1467_2-3,winter2,2014,0.42676602773403
1468_3-4,winter2,2014,0.187937022813165
1472_3-4,winter2,2014,0.198642749526765
1474_3-4,winter2,2014,0.232870111808316
1476_3-4,winter2,2014,0.145111689154207
1537_2-3,winter2,2014,0.203208141757504
1539_2-3,winter2,2014,0.193923941470365
1549_2-3,winter2,2014,0.193675254835862
397_1-2,winter2,2014,0.261904761904762
402_1-2,winter2,2014,0.422725384295804
468_4-5,winter2,2014,0.0418468190240889
657_1-2,winter2,2014,0.0204254050293211
848_1-2,winter2,2014,0.227446047279084
849_1-2,winter2,2014,0.222219112243144
851_1-2,winter2,2014,0.21156795372042
1165_1-2,winter2,2015,0.322005833301768
1166_1-2,winter2,2015,0.286163476164788
1167_1-2,winter2,2015,0.730227012367615
1170_1-2,winter2,2015,0.293537347565058
1173_1-2,winter2,2015,0.336022721859668
1174_1-2,winter2,2015,0.40817545525554
1176_1-2,winter2,2015,0.594328709959892
1178_1-2,winter2,2015,0.315764359329854
118_1-2,winter2,2015,0.00468458634647746
1181_1-2,winter2,2015,0
119_1-2,winter2,2015,0.00682995760715968
1233_1-2,winter2,2015,0.747771636037286
1235_1-2,winter2,2015,0.75526094586424
1236_1-2,winter2,2015,0.555677283042492
1239_1-2,winter2,2015,0.744362585932777
1240_1-2,winter2,2015,0.845725696804895
1245_1-2,winter2,2015,0.811291432631041
1246_1-2,winter2,2015,0.886818667972772
1248_1-2,winter2,2015,0.745285735750776
1249_1-2,winter2,2015,0.722839499402222
1250_1-2,winter2,2015,0.757254648085682
1252_1-2,winter2,2015,0.816593326234493
1253_1-2,winter2,2015,0.747777644901539
137_1-2,winter2,2015,0.189097256411404
1463_4-5,winter2,2015,0.0514352341571305
1467_3-4,winter2,2015,0.462290595272254
1472_4-5,winter2,2015,0.116363550863498
1474_4-5,winter2,2015,0.151954814753939
1476_4-5,winter2,2015,0.173454726718274
1483_1-2,winter2,2015,0.730593607305936
1487_1-2,winter2,2015,0.751242205767732
1492_1-2,winter2,2015,0.700983853504684
1493_1-2,winter2,2015,0.731047826949792
1496_1-2,winter2,2015,0.634757780527268
1497_1-2,winter2,2015,0.653584413163047
1498_1-2,winter2,2015,0.665903736115786
1501_1-2,winter2,2015,0.608125711082164
1503_1-2,winter2,2015,0.699924604171903
1530_3-4,winter2,2015,0.254911343275647
1537_3-4,winter2,2015,0.335346075153451
