elkYear,reclass,notes,manualSpStart,manualSpEnd,manualFaStart,manualFaEnd
1483_2,,no return,4-20,5-7,,
1485_1,,,5-4,6-4,9-14,9-27
1485_2,,,5-18,6-2,8-22,9-24
1485_3,,no return,5-21,6-7,,
1487_1,,,5-13,5-15,10-20,10-22
1487_2,,,5-23,5-26,10-3,10-5
1487_3,,,5-16,5-17,9-20,10-3
1487_4,,,5-29,6-2,9-26,10-7
149_1,,,7-20,7-21,11-11,11-28
149_2,,,7-12,7-18,10-6,11-12
149_3,disperser,,5-3,6-23,,
149_4,,,7-5,7-12,10-9,10-12
1492_1,,,4-13,4-19,11-6,11-8
1492_2,,,4-19,4-26,10-17,11-28
1492_3,,,4-16,4-21,10-9,10-17
1492_4,,,5-3,5-15,10-12,10-18
1493_1,,,5-2,5-3,10-11,10-19
1493_2,,,4-21,4-22,10-26,11-1
1493_3,,,5-5,5-7,10-3,10-8
1493_4,,,5-15,5-27,9-22,9-30
1496_1,,,5-2,5-4,10-13,10-14
1496_2,,,5-25,5-26,11-21,11-29
1496_3,,,,,,
1496_4,,,,,,
1497_1,,,,,,
1497_2,,,,,,
1497_3,,,,,,
1498_1,,,4-28,5-5,10-13,10-16
1498_2,,,5-4,5-5,10-6,10-8
1498_3,,,5-8,5-25,10-5,10-9
1498_4,,,5-10,5-20,10-3,10-6
1499_1,,,5-21,5-23,9-4,9-10
1499_2,,,5-17,5-19,9-6,9-8
150_1,,,6-21,6-23,11-11,11-25
150_2,,,6-8,6-19,7-25,7-26
1501_1,,,5-26,5-27,8-16,8-19
1501_2,,,6-1,6-2,9-5,9-6
1501_3,,,5-30,5-31,9-25,9-27
1501_4,,,6-3,6-4,8-4,8-5
1502_1,,,3-27,4-12,11-4,12-3
1502_2,,,4-19,5-5,10-3,11-28
1502_3,,,4-23,5-17,11-3,11-12
1502_4,,no return,5-4,5-23,,
1503_1,,,5-1,5-3,10-13,10-15
1503_2,,,4-19,4-26,10-5,10-7
1503_3,,,5-27,6-2,10-1,10-4
1503_4,,,5-21,5-23,9-2,9-20
1504_1,,,7-21,7-24,8-22,8-26
1504_2,,,6-18,6-27,7-4,7-6
1504_3,,no return,7-3,7-9,,
151_1,,,6-19,6-25,8-15,9-1
151_2,,,6-19,6-21,8-12,8-13
1510_1,,,4-22,4-28,12-13,12-16
1510_2,,,7-16,7-17,9-19,9-20
1512_1,,,6-8,7-8,12-15,12-16
1512_2,,,5-28,5-29,11-29,11-30
1516_1,,,4-22,5-10,11-14,12-16
1516_2,,,5-1,5-19,9-4,12-8
1517_1,,,4-23,4-25,12-13,12-16
1517_2,,,5-1,5-4,12-2,12-7
152_1,,,5-24,6-4,9-18,10-17
152_2,,,5-16,5-28,10-7,10-15
1520_1,,,4-22,5-25,11-14,12-9
1520_2,,,4-17,4-23,12-3,12-7
153_1,,,4-25,6-24,9-11,11-26
153_2,,,6-2,6-15,10-7,11-3
1530_3,,,4-8,5-4,12-21,12-29
1530_4,,no return,3-13,4-12,,
1537_1,,,3-29,4-11,11-11,1-15
1537_2,,,4-1,4-28,11-12,1-25
1537_3,,,4-5,5-17,12-4,12-23
1537_4,,no return,3-19,4-21,,
1539_2,,,4-12,6-21,11-19,1-6
1539_3,,,4-9,5-3,11-23,12-3
1539_4,,,4-21,5-27,11-6,11-28
1539_5,,,4-18,5-21,12-4,1-2
1549_1,,,3-25,6-1,12-7,1-7
1549_2,,,4-1,5-21,11-12,12-27
1549_3,,,4-15,5-23,11-24,12-16
1549_4,,,3-13,4-30,11-7,11-16
1558_1,,,,,,
1558_2,,,4-17,4-18,11-6,11-8
1558_3,,,5-8,5-31,10-19,10-27
1560_1,,,5-26,6-15,10-8,10-25
1560_2,,,5-26,6-4,10-28,11-17
1560_3,,,5-20,6-17,10-5,10-26
1561_2,,,6-7,7-1,10-4,10-16
1561_3,,,7-21,7-24,10-2,10-29
1563_1,,,5-22,5-23,11-30,12-3
1563_2,,,3-30,5-21,11-13,12-3
1563_3,,,04-26,05-20,11-03,12-02
1565_1,,,5-26,6-30,11-10,12-28
1565_2,,,8-1,8-7,1-14,1-19
1565_3,,,7-25,8-1,9-9,9-11
1566_1,,,5-28,6-23,11-11,1-7
1566_2,,,5-12,6-30,9-22,1-30
1566_3,,,5-21,7-4,11-22,12-6
1567_2,,,6-8,6-26,10-23,1-4
1567_3,,,05-19,05-25,12-15,12-30
1568_1,,,6-26,8-12,10-3,10-18
1568_2,,,6-20,7-6,11-6,11-29
1568_3,,,06-18,07-06,10-19,11-06
1569_2,,,06-13,06-25,11-04,11-26
1569_3,,no return,5-22,5-27,,
16_1,,,8-9,8-10,9-10,9-11
16_2,,,7-13,7-16,9-26,9-28
1605_1,,,7-27,7-29,11-21,11-22
1605_2,,no return,8-12,8-14,,
1609_2,,,6-30,7-1,1-10,1-16
1609_3,,no return,6-27,6-28,,
1674_1,,,05-16,05-24,09-26,10-06
1674_2,,,6-27,7-3,9-27,9-30
1691_1,,,5-20,6-1,10-31,11-9
1691_2,,,5-25,6-7,9-28,10-3
17_1,,,05-04,05-26,10-20,11-02
17_2,,no return,4-21,5-25,,
1713_1,disperser,,4-28,5-12,,
1713_2,disperser,,,,,
1718_1,,,5-3,5-18,10-8,11-20
1718_2,,no return,03-24,07-15,,
172_1,,,04-19,07-06,08-30,11-16
172_2,,no return,3-26,6-24,,
1720_1,,,3-23,6-13,8-21,1-9
1720_2,,,05-29,06-28,09-29,10-10
1721_1,,,5-21,6-28,3-14,3-29
1721_2,,,6-27,6-30,12-18,12-29
173_1,,,6-26,6-27,9-28,11-17
173_2,,,07-11,07-13,10-15,10-23
174_1,,,7-6,7-7,9-6,9-9
174_2,,,06-26,06-27,08-27,10-05
177_1,,,6-25,6-30,9-2,9-25
177_2,,,07-02,07-05,09-15,10-15
1771_1,,,7-6,7-8,11-4,11-8
1771_2,,,6-4,6-7,10-30,11-9
1771_3,,,06-28,07-03,10-21,01-03
1772_2,,,4-27,6-8,10-30,11-20
1772_3,,,05-08,06-26,10-12,12-02
1773_2,,,5-1,5-17,11-7,11-11
1773_3,,,04-28,05-15,09-27,12-19
1775_1,,,4-20,5-6,3-10,3-25
1775_2,,,05-12,05-14,12-05,12-21
1776_1,,,4-30,6-15,10-14,1-24
1776_2,,,05-29,06-02,11-19,01-05
1777_1,,,4-23,5-5,8-1,10-18
1777_2,,,03-14,05-08,10-24,12-15
1778_1,,,4-6,5-25,10-10,11-27
1778_2,,,04-13,05-25,10-22,10-31
184_1,,,4-17,7-19,10-1,11-17
184_2,,,04-16,6-31,09-26,11-07
186_1,,,4-15,6-3,10-20,11-17
186_2,,,03-17,04-27,11-16,11-27
187_1,,,5-7,5-9,11-10,11-24
187_2,,,04-13,04-19,10-05,10-12
188_1,,,4-17,5-16,9-19,11-23
188_2,,,3-15,05-01,9-9,10-10
19_1,,,05-30,06-26,10-22,10-30
19_2,,no return,6-2,6-17,,
190_1,,,3-18,3-28,11-22,12-1
190_2,,,04-09,04-11,11-29,12-07
20_1,disperser,,05-30,06-18,10-22,12-17
20_2,,no return,5-1,6-1,,
21_1,,LDM to R,08-19,08-27,10-02,10-16
21_2,,,,,,
210_1,,,05-01,05-05,11-21,12-04
210_2,,no return,4-9,6-12,,
211_1,,,4-17,4-19,11-29,12-3
211_2,,,4-11,4-13,12-3,12-4
212_1,,,6-23,7-17,10-23,11-19
212_2,,,06-25,06-30,10-26,10-31
215_1,,,5-31,6-11,11-16,11-19
215_2,,,06-19,07-06,10-25,11-06
217_1,,,5-26,5-30,11-18,11-24
217_2,,,06-06,06-07,10-23,10-29
218_1,,,,,,
218_2,,,,,,
22_1,,,04-13,05-14,10-26,11-21
22_2,,no return,5-4,5-16,,
223_1,,,05-05,06-29,07-26,11-14
223_2,,no return,5-28,6-25,,
224_1,,,05-15,06-06,10-12,10-18
224_2,,,5-24,6-1,10-25,11-3
227_1,,,05-02,05-04,01-08,01-21
227_2,,no return,4-30,5-3,,
24_1,,,7-18,7-22,12-21,12-26
24_2,,no return,6-13,7-10,,
26_1,,,06-26,07-04,09-27,10-14
26_2,,no return,6-25,8-14,,
265_1,,,05-14,06-04,11-01,11-13
265_2,,no return,3-21,4-21,,
266_1,,,,,,
266_2,,,,,,
266_3,,,4-22,5-2,9-2,9-7
27_1,,,06-18,07-07,12-15,12-27
27_2,,no return,6-4,6-17,,
278_1,,,5-19,5-30,12-8,12-9
278_2,,,05-14,06-26,10-20,10-28
279_1,,,7-3,7-5,11-6,12-16
279_2,,,05-24,05-27,08-30,09-02
280_1,,,5-24,5-27,11-30,12-2
280_2,,,05-01,05-13,11-06,11-11
283_1,,,5-14,6-3,10-30,11-8
283_2,,,05-23,05-30,09-27,11-25
284_1,,,06-28,07-01,10-28,11-05
284_2,,no return,6-17,6-19,,
3_1,,,05-13,06-06,10-10,11-23
3_2,,no return,4-28,5-21,,
305_2,,,4-27,5-7,12-7,12-14
305_3,,,04-12,05-07,12-11,12-19
308_2,,,5-12,5-16,12-8,12-14
308_3,,,04-25,05-20,10-24,12-16
308_4,,no return,5-5,5-28,,
311_2,,,04-26,05-12,12-08,12-13
311_3,,,5-8,5-14,11-6,11-7
312_2,,,5-1,5-12,12-7,12-12
312_3,,,05-01,05-08,12-09,12-18
312_4,,no return,5-10,5-13,,
313_2,,,4-26,5-12,12-7,12-17
313_3,,,04-18,05-03,12-07,12-20
313_4,,no return,4-11,4-28,,
314_2,,,5-13,5-19,11-21,12-12
314_3,,,05-08,05-12,12-02,12-23
314_4,,no return,4-16,4-27,,
315_2,,,04-17,05-16,12-07,12-14
315_3,,,5-6,5-12,11-6,11-7
318_2,,,4-19,5-13,11-6,12-3
318_3,,,04-20,05-08,11-22,12-26
318_4,,no return,4-11,5-8,,
319_2,,,05-14,05-17,12-8,12-12
319_3,,no return,5-8,5-11,,
32_1,,,06-26,07-12,09-27,09-30
32_2,,no return,5-29,6-13,,
321_2,,,4-25,5-30,11-8,11-22
321_3,,,05-07,05-19,10-24,12-24
322_2,,,4-27,4-30,11-26,12-17
322_3,,,4-17,5-2,12-14,12-21
322_4,,no return,4-16,4-23,,
323_2,,,4-25,5-20,11-26,12-18
323_3,,,4-11,5-19,12-2,12-21
323_4,,no return,4-5,4-29,,
325_2,,,4-26,5-21,11-16,12-10
325_3,,,04-25,05-20,11-02,12-28
325_4,,no return,4-24,5-15,,
326_2,,,4-24,5-4,11-21,12-17
326_3,,,4-10,4-20,12-2,12-21
326_4,,no return,4-5,4-28,,
328_2,,,5-12,5-16,12-8,12-12
328_3,,,05-01,05-15,12-09,12-15
328_4,,no return,5-7,5-11,,
33_1,,,05-26,06-07,10-17,11-26
33_2,,no return,5-11,5-23,,
331_2,,,05-16,05-30,12-08,12-14
331_3,,,5-8,6-7,10-11,10-16
332_2,,,4-27,5-19,11-27,12-17
332_3,,,4-20,5-25,10-29,12-24
332_4,,no return,4-8,5-24,,
333_2,,,4-26,5-6,12-3,12-12
333_3,,,04-10,05-08,12-06,12-20
333_4,,no return,4-15,4-22,,
334_2,,,5-14,5-17,12-2,12-17
334_3,,,05-01,05-08,12-04,02-28
334_4,,no return,5-26,5-28,,
335_2,,,05-07,05-20,12-01,12-19
335_3,,no return,5-8,5-17,,
34_1,,,05-29,07-06,09-30,10-04
34_2,,no return,5-13,5-27,,
343_1,,,6-16,7-3,10-24,12-29
343_2,,,06-02,07-02,10-29,11-26
346_1,,,6-4,6-18,11-16,3-5
346_2,,,04-17,06-24,11-14,11-29
347_1,,,04-16,05-28,11-23,11-30
347_2,,no return,6-15,7-18,,
348_1,,,5-8,5-25,11-22,1-1
348_2,,,4-10,5-23,11-30,12-9
348_3,,,4-16,4-17,12-7,1-6
348_4,,,03-22,04-06,12-03,02-01
349_1,,,5-22,6-22,10-22,11-17
349_2,,,04-26,05-01,11-08,11-16
350_1,,,5-21,5-22,11-17,1-1
350_2,,,03-30,06-05,11-08,01-29
351_1,,,5-30,6-3,11-11,12-25
351_2,,,03-02,06-23,10-26,11-06
352_1,,,4-29,6-6,10-18,12-19
352_2,,,03-16,06-19,11-03,11-28
353_1,,,05-12,05-17,12-15,12-27
353_2,,no return,3-22,7-2,,
355_1,,,5-30,6-5,11-10,1-3
355_2,,,06-02,06-28,10-08,11-29
356_1,,,5-8,5-24,11-2,2-12
356_2,,,06-01,06-05,11-2,11-28
36_1,,,06-03,06-13,10-25,11-02
36_2,,no return,3-24,5-19,,
376_1,,,4-10,6-7,10-30,11-13
376_2,,,04-30,06-05,10-14,11-18
388_1,,,4-8,6-1,11-22,12-14
388_2,,,5-29,6-3,7-16,7-22
389_1,,,04-16,05-30,10-18,12-10
389_2,,no return,4-9,5-29,,
39_1,,,6-29,7-9,9-30,10-4
39_2,,,5-1,5-3,7-12,7-22
397_1,,,04-09,05-25,09-29,12-20
397_2,,,4-22,5-27,10-27,11-13
4_1,,,6-28,7-7,9-25,10-3
4_2,,no return,7-21,7-31,,
40_1,,,07-09,07-16,12-25,12-28
40_2,,,7-21,7-31,,
402_1,,,5-2,6-1,10-19,11-16
402_2,,,05-26,06-02,09-14,12-07
41_1,,,04-23,06-01,10-23,12-21
41_2,,no return,3-13,6-4,,
42_1,,,05-13,06-12,10-29,01-28
42_2,,no return,5-10,6-2,,
43_1,,,05-11,05-31,09-13,11-24
43_2,,no return,5-4,5-23,,
44_1,,,05-30,06-13,10-22,10-28
44_2,,no return,5-8,6-21,,
45_1,,,05-06,06-02,10-11,11-03
45_2,,no return,5-10,6-2,,
451_1,,,4-10,4-20,12-17,12-22
451_2,,,04-01,04-10,11-14,11-19
452_1,,,4-4,4-10,11-9,11-19
452_2,,,05-01,06-01,10-23,11-04
453_1,,,05-08,06-05,11-10,12-19
453_2,,,5-10,5-28,10-27,11-18
454_1,,,4-16,4-24,12-19,12-24
454_2,,,3-30,4-14,11-16,11-19
454_3,,,4-18,4-22,12-4,12-22
454_4,,,03-30,04-03,12-06,12-21
455_1,,,5-8,5-12,12-12,1-11
455_2,,,04-12,04-27,11-15,11-21
456_1,,,05-07,05-16,11-14,11-20
456_2,,,4-26,4-27,11-16,11-20
457_1,,,05-08,05-11,11-29,12-17
457_2,,no return,5-1,5-27,,
46_1,,,06-26,07-21,10-03,10-24
46_2,,no return,6-19,7-15,,
460_2,,,04-10,04-14,11-14,11-22
460_3,,no return,4-15,4-23,,
465_1,,,04-29,05-16,10-26,11-17
465_2,,no return,5-13,6-16,,
466_1,,,04-14,04-25,11-25,11-27
466_2,,,5-12,6-3,11-6,11-24
468_1,,,5-10,5-13,10-19,11-18
468_2,,,5-19,5-30,12-19,12-22
468_3,,,4-26,5-20,11-28,12-20
468_4,,,5-16,5-23,10-31,11-22
468_5,,,05-02,05-27,11-19,11-23
470_2,,,4-27,4-30,11-26,12-17
470_3,,,4-30,5-23,11-11,12-21
470_4,,,4-15,4-18,11-13,11-21
470_5,,,4-23,6-6,10-27,12-16
470_6,,no return,4-2,4-26,,
478_1,,,5-3,6-12,10-11,11-16
478_2,,,4-21,5-17,10-12,12-10
478_3,,,05-01,05-14,10-14,12-04
479_1,,,4-19,4-23,11-29,12-6
479_2,,no return,3-31,4-5,,
48_1,,,6-7,7-8,11-19,11-28
48_2,,no return,6-7,7-13,,
49_1,,,08-10,08-14,09-18,10-30
49_2,,no return,5-9,5-27,,
5_1,,,05-31,06-11,10-21,11-27
5_2,,no return,5-14,6-18,,
50_1,,,07-16,07-29,10-05,10-11
50_2,,no return,7-1,7-14,,
51_1,disperser,,05-31,06-05,,
51_2,,,,,,
52_1,,,07-18,08-11,10-21,11-06
52_2,,no return,6-10,6-20,,
53_1,,,4-25,4-26,10-15,10-20
53_2,,no return,4-8,4-17,,
531_1,,,4-18,5-22,10-12,12-29
531_2,,,04-24,05-30,10-23,12-03
532_1,,,5-20,5-29,10-3,12-13
532_2,,,5-26,6-7,10-26,11-28
533_1,,,3-23,3-26,10-14,12-22
533_2,,,03-30,04-15,10-24,12-10
534_1,,,,,,
534_2,,,,,,
535_1,,,5-20,5-21,12-18,12-22
535_2,,,6-3,6-5,11-19,11-29
539_1,,,3-12,3-29,12-7,12-12
539_2,,,4-13,4-26,10-23,10-29
54_1,,,05-06,05-14,10-29,12-09
54_2,,no return,4-22,5-17,,
540_1,,,4-19,6-1,9-22,2-19
540_2,,,03-30,06-08,10-26,12-6
542_1,,,5-20,7-3,12-18,12-22
542_2,,,5-24,6-27,10-27,11-27
544_1,,,7-11,7-12,12-18,12-23
544_2,,,5-24,6-7,10-13,12-8
547_1,,,04-13,04-28,12-02,12-07
547_2,,no return,6-7,6-28,,
548_1,,,04-23,05-27,11-17,12-30
548_2,,no return,5-17,5-21,,
549_1,,,3-12,4-5,12-5,12-12
549_2,,,4-12,4-18,11-24,1-16
55_1,,,05-31,06-05,10-03,10-30
55_2,,no return,5-17,5-23,,
550_1,,,04-21,05-13,10-30,12-18
550_2,,no return,4-15,6-24,,
553_1,,,04-21,05-24,10-07,10-06
553_2,,no return,5-19,6-13,,
555_1,,,4-21,7-23,12-18,1-3
555_2,,,04-17,06-06,10-29,01-07
556_1,,,3-23,3-26,12-24,1-14
556_2,,,4-12,4-22,11-24,11-27
558_1,,,4-11,4-20,11-20,12-8
558_2,,,04-17,04-19,11-13,12-06
56_1,,,07-19,08-16,10-31,12-28
56_2,,no return,3-30,8-30,,
560_1,,,5-21,5-23,10-24,10-30
560_2,,,05-27,05-29,10-26,10-30
561_1,,,6-1,6-2,10-28,12-13
561_2,,,6-9,6-13,10-26,11-27
562_1,,,05-28,05-30,12-07,12-12
562_2,,no return,6-15,6-16,,
564_1,,,4-20,4-29,12-17,12-25
564_2,,,03-28,05-22,11-15,12-18
565_1,disperser,,04-19,05-29,10-15,12-19
565_2,,no return,4-16,6-24,,
573_1,,,5-8,5-11,10-18,1-7
573_2,,,05-15,05-18,10-03,12-06
575_1,,,5-14,5-16,11-14,11-24
575_2,,,5-15,5-16,11-18,12-8
578_1,,,5-13,5-23,10-23,11-19
578_2,,,5-17,5-28,10-23,12-6
581_1,,,05-15,06-14,10-17,11-21
581_2,,no return,6-2,6-3,,
582_1,,,3-17,3-26,12-11,1-9
582_2,,,5-24,5-27,2-2,2-6
583_1,,,5-20,5-21,10-24,12-22
583_2,,,03-11,05-13,10-20,12-18
586_1,,,3-14,6-7,2-17,2-19
586_2,,,4-22,6-26,10-17,1-17
588_1,,,04-24,07-03,08-22,11-06
588_2,,,5-12,6-3,10-17,10-25
59_1,,,05-14,06-06,10-22,10-28
59_2,,no return,5-13,5-22,,
591_1,,,5-14,6-25,10-23,11-8
591_2,,,05-10,06-11,10-20,10-22
592_1,,,4-13,6-26,10-23,11-21
592_2,,,05-05,05-15,12-03,12-13
593_1,,,3-31,6-4,12-3,12-15
593_2,,,4-18,5-29,11-18,1-19
594_1,,,3-26,6-26,10-23,12-30
594_2,,,03-13,06-26,11-16,11-19
596_1,,,6-25,6-27,10-20,12-15
596_2,,,05-05,05-25,11-10,11-25
597_1,,,5-30,6-6,10-18,11-13
597_2,,,06-25,07-02,11-09,11-22
598_1,,,3-4,4-24,10-24,12-21
598_2,,,05-01,05-13,10-18,12-13
599_1,,,3-4,5-15,11-16,12-6
599_2,,,04-26,06-05,11-22,12-12
6_1,,,06-29,07-21,10-11,10-28
6_2,,no return,5-2,6-14,,
60_1,,,07-08,07-15,10-29,11-03
60_2,,no return,5-23,7-8,,
602_1,,,03-31,04-24,11-9,11-22
